present,past
suck,sucked
sue,sued
suffer,suffered
suffice,sufficed
suffuse,suffused
suggest,suggested
suit,suited
sulk,sulked
sum,summed
summarize,summarized
summate,summated
summon,summoned
superimpose,superimposed
supervise,supervised
supplant,supplanted
supplement,supplemented
supply,supplied
support,supported
suppose,supposed
suppress,suppressed
surge,surged
surprise,surprised
surrender,surrendered
surround,surrounded
survey,surveyed
survive,survived
suspect,suspected
suspend,suspended
sustain,sustained
swagger,swaggered
swallow,swallowed
swap,swapped
swarm,swarmed
sway,swayed
swear,swore
sweep,swept
swell,swelled
swerve,swerved
swim,swam
swing,swung
swirl,swirled
swish,swished
switch,switched
swoop,swooped
symbolize,symbolized
sympathize,sympathized
tackle,tackled
take,took
talk,talked
tally,tallied
tap,tapped
taper,tapered
taste,tasted
tax,taxed
teach,taught
team,teamed
tear,tore
tease,teased
telegraph,telegraphed
telephone,telephoned
tell,told
tempt,tempted
tend,tended
term,termed
terminate,terminated
terrify,terrified
test,tested
testify,testified
thank,thanked
thaw,thawed
theorize,theorized
thicken,thickened
thin,thinned
think,thought
thrash,thrashed
threaten,threatened
thrill,thrilled
thrive,thrived
throb,throbbed
throw,threw
thrust,thrust
thunder,thundered
thwart,thwarted
tick,ticked
tie,tied
tighten,tightened
tilt,tilted
time,timed
tip,tipped
tire,tired
toast,toasted
toe,toed
tolerate,tolerated
top,topped
torment,tormented
toss,tossed
total,totaled
touch,touched
tour,toured
trace,traced
track,tracked
trade,traded
trail,trailed
train,trained
tramp,tramped
trample,trampled
transact,transacted
transcend,transcended
transfer,transferred
transform,transformed
translate,translated
transmit,transmitted
transpire,transpired
transplant,transplanted
transport,transported
trap,trapped
travel,traveled
traverse,traversed
tread,trod
treat,treated
tremble,trembled
trim,trimmed
trip,tripped
trot,trotted
trouble,troubled
trudge,trudged
trust,trusted
try,tried
tuck,tucked
tug,tugged
tumble,tumbled
tune,tuned
turn,turned
twine,twined
twist,twisted
twitch,twitched
type,typed
uncover,uncovered
underestimate,underestimated
undergo,underwent
underlie,underlay
underline,underlined
undermine,undermined
underscore,underscored
understand,understood
undertake,undertook
underwrite,underwrote
undo,undid
undress,undressed
unfold,unfolded
unify,unified
unite,united
unload,unloaded
unlock,unlocked
unscrew,unscrewed
untie,untied
upgrade,upgraded
uphold,upheld
upset,upset
urge,urged
use,used
usher,ushered
utilize,utilized
utter,uttered
validate,validated
value,valued
vanish,vanished
vary,varied
veer,veered
vent,vented
venture,ventured
verify,verified
vex,vexed
view,viewed
violate,violated
visit,visited
visualize,visualized
voice,voiced
volunteer,volunteered
vote,voted
vow,vowed
wad,wadded
wade,waded
wag,wagged
wage,waged
wager,wagered
wail,wailed
wait,waited
wake,woke
walk,walked
wall,walled
wander,wandered
want,wanted
warm,warmed
warn,warned
warp,warped
warrant,warranted
wash,washed
waste,wasted
watch,watched
water,watered
wave,waved
waver,wavered
wax,waxed
weaken,weakened
wear,wore
weave,wove
weep,wept
weigh,weighed
welcome,welcomed
well,welled
whack,whacked
wheel,wheeled
while,whiled
whine,whined
whinny,whinnied
whip,whipped
whirl,whirled
whisper,whispered
whistle,whistled
whiz,whizzed
widen,widened
wield,wielded
wiggle,wiggled
will,willed
wince,winced
wind,wound
wind,winded
wing,winged
wink,winked
wipe,wiped
wire,wired
wish,wished
withdraw,withdrew
wither,withered
withhold,withheld
withstand,withstood
witness,witnessed
wobble,wobbled
wonder,wondered
work,worked
worry,worried
worship,worshiped
wound,wounded
wrangle,wrangled
wrap,wrapped
wreck,wrecked
wrench,wrenched
wrestle,wrestled
wrinkle,wrinkled
write,wrote
writhe,writhed
yank,yanked
yearn,yearned
yell,yelled
yield,yielded
